wordpress-seo,WordPress SEO by Yoast,1.7.3.3
jetpack,Jetpack by WordPress.com,3.3.2
contact-form-7,Contact Form 7,4.1
woocommerce,WooCommerce - excelling eCommerce,2.3.5
google-analytics-for-wordpress,Google Analytics by Yoast,5.3.2
akismet,Akismet,3.0.4
nextgen-gallery,NextGEN Gallery,2.0.74
all-in-one-seo-pack,All in One SEO Pack,2.2.5.1
wordpress-importer,WordPress Importer,0.6.1
better-wp-security,iThemes Security (formerly Better WP Security),4.6.8
google-analytics-dashboard-for-wp,Google Analytics Dashboard for WP,4.4.6
black-studio-tinymce-widget,Black Studio TinyMCE Widget,2.2.3
nextgen-facebook,"NextGEN Facebook - Advanced Social SEO for Facebook, Google",7.8
wordfence,Wordfence Security,5.3.6
ml-slider,Meta Slider,3.3
google-sitemap-generator,Google XML Sitemaps,4.0.8
wysija-newsletters,MailPoet Newsletters,2.6.15
pluscaptcha,PlusCaptcha,2.0.14
advanced-custom-fields,Advanced Custom Fields,4.4.0
si-contact-form,Fast Secure Contact Form,4.0.33
wpsso,WordPress Social Sharing Optimization - Improves Shared Content on Social Websites,2.8
captcha,Captcha,4.0.9
siteorigin-panels,Page Builder by SiteOrigin,2.0.7
buddypress,BuddyPress,2.2.1
yith-woocommerce-wishlist,YITH WooCommerce Wishlist,2.0.3
contact-form-plugin,Contact Form,3.86
tinymce-advanced,TinyMCE Advanced,4.1.7
w3-total-cache,W3 Total Cache,0.9.4.1
mailchimp-for-wp,MailChimp for WordPress,2.2.5
wp-super-cache,WP Super Cache,1.4.2
really-simple-captcha,Really Simple CAPTCHA,1.8.0.1
contact-form-7-to-database-extension,Contact Form DB,2.8.32
wp-pagenavi,WP-PageNavi,2.87
updraftplus,UpdraftPlus Backup and Restoration,1.9.60
redirection,Redirection,2.3.14
wp-retina-2x,WP Retina 2x,3.0.4
woosidebars,WooSidebars,1.4.1
shareaholic,Shareaholic ,7.6.0.9
p3-profiler,P3 (Plugin Performance Profiler),1.5.3.8
add-meta-tags,Add Meta Tags,2.6.8
photo-gallery,Photo Gallery,1.2.15
wptouch,WPtouch Mobile Plugin,3.6.6
