wp-pagenavi,WP-PageNavi,2.89.1
woocommerce,WooCommerce - excelling eCommerce,2.4.10
nextgen-gallery,NextGEN Gallery,2.1.15
wordpress-seo,Yoast SEO,3.0.3
wordfence,Wordfence Security,6.0.20
hello-dolly,Hello Dolly,1.6
tinymce-advanced,TinyMCE Advanced,4.2.5
advanced-custom-fields,Advanced Custom Fields,4.4.3
regenerate-thumbnails,Regenerate Thumbnails,2.2.4
contact-form-7,Contact Form 7,4.3.1
akismet,Akismet,3.1.5
wp-super-cache,WP Super Cache,1.4.6
w3-total-cache,W3 Total Cache,0.9.4.1
jetpack,Jetpack by WordPress.com,3.8.0
wordpress-importer,WordPress Importer,0.6.1
really-simple-captcha,Really Simple CAPTCHA,1.8.0.1
google-sitemap-generator,Google XML Sitemaps,4.0.8
all-in-one-seo-pack,All in One SEO Pack,2.2.7.3
google-analytics-for-wordpress,Google Analytics by Yoast,5.4.6
duplicate-post,Duplicate Post,2.6
disable-comments,Disable Comments,1.3.2
wp-multibyte-patch,WP Multibyte Patch,2.4
black-studio-tinymce-widget,Black Studio TinyMCE Widget,2.2.8
better-wp-security,iThemes Security (formerly Better WP Security),5.1.1
siteorigin-panels,Page Builder by SiteOrigin,2.2.1
google-analytics-dashboard-for-wp,Google Analytics Dashboard for WP,4.8.3
ml-slider,Meta Slider,3.3.5
updraftplus,UpdraftPlus Backup and Restoration,1.11.17
wpclef,Clef Two-Factor Authentication,2.3.1
duplicator,Duplicator,0.5.34
googleanalytics,Google Analytics,1.0.6
wp-db-backup,WP-DB-Backup,2.3.0
redirection,Redirection,2.4.3
shortcodes-ultimate,Shortcodes Ultimate,4.9.9
si-contact-form,Fast Secure Contact Form,4.0.38
wp-optimize,WP-Optimize,1.8.9.10
image-widget,Image Widget,4.1.2
google-analyticator,Google Analyticator,6.4.9.6
broken-link-checker,Broken Link Checker,1.10.10
wp-mail-smtp,WP Mail SMTP,0.9.5
breadcrumb-navxt,Breadcrumb NavXT,5.3.0
backwpup,BackWPup Free - WordPress Backup Plugin,3.2.1
wptouch,WPtouch Mobile Plugin,3.8.9
mailchimp-for-wp,MailChimp for WordPress,3.0.1
iwp-client,InfiniteWP Client,1.4.3
tablepress,TablePress,1.6.1
wp-maintenance-mode,WP Maintenance Mode,2.0.3
post-types-order,Post Types Order,1.8.5
contact-form-7-to-database-extension,Contact Form DB,2.9.13
