contact-form-7,Contact Form 7,4.9.1
wordpress-seo,Yoast SEO,5.7.1
akismet,Akismet,4.0
jetpack,Jetpack by WordPress.com,5.4
wordpress-importer,WordPress Importer,0.6.3
woocommerce,WooCommerce,3.2.3
all-in-one-seo-pack,All in One SEO Pack,2.4.2
google-sitemap-generator,Google XML Sitemaps,4.0.9
limit-login-attempts,Limit Login Attempts,1.7.1
tinymce-advanced,TinyMCE Advanced,4.6.3
wordfence,Wordfence Security,6.3.21
duplicate-post,Duplicate Post,3.2
wp-super-cache,WP Super Cache,1.5.8
google-analytics-for-wordpress,Google Analytics for WordPress by MonsterInsights,6.2.4
regenerate-thumbnails,Regenerate Thumbnails,2.3.1
advanced-custom-fields,Advanced Custom Fields,4.4.12
hello-dolly,Hello Dolly,1.6
siteorigin-panels,Page Builder by SiteOrigin,2.5.13
updraftplus,UpdraftPlus WordPress Backup Plugin,1.13.12
w3-total-cache,W3 Total Cache,0.9.5.4
google-analytics-dashboard-for-wp,Google Analytics Dashboard for WP (GADWP),5.1.2.2
duplicator,Duplicator – WordPress Migration Plugin,1.2.26
really-simple-captcha,Really Simple CAPTCHA,2.0.1
so-widgets-bundle,SiteOrigin Widgets Bundle,1.10.2
nextgen-gallery,NextGEN Gallery – WordPress Gallery Plugin,2.2.14
mailchimp-for-wp,MailChimp for WordPress,4.1.11
disable-comments,Disable Comments,1.7
ninja-forms,Ninja Forms – The Easy and Powerful Forms Builder,3.2.3
wp-pagenavi,WP-PageNavi,2.92
wp-multibyte-patch,WP Multibyte Patch,2.8.1
wp-smushit,Smush Image Compression and Optimization,2.7.6
black-studio-tinymce-widget,Black Studio TinyMCE Widget,2.5.1
better-wp-security,iThemes Security (formerly Better WP Security),6.6.1
ml-slider,Meta Slider,3.5.1
redirection,Redirection,2.8.1
all-in-one-wp-migration,All-in-One WP Migration,6.59
wp-mail-smtp,WP Mail SMTP by WPForms,0.11.1
wpforms-lite,Contact Form by WPForms – Drag & Drop Form Builder for WordPress,1.4.2
breadcrumb-navxt,Breadcrumb NavXT,5.7.1
shortcodes-ultimate,Shortcodes Ultimate,5.0.1
googleanalytics,Google Analytics,2.1.3
wp-optimize,WP-Optimize,2.1.1
tablepress,TablePress,1.8.1
optinmonster,Popups by OptinMonster – Best WordPress Lead Generation Plugin,1.3.2
all-in-one-wp-security-and-firewall,All In One WP Security & Firewall,4.2.9
backwpup,BackWPup – WordPress Backup Plugin,3.4.4
ewww-image-optimizer,EWWW Image Optimizer,4.0.1
loginizer,Loginizer,1.3.8
the-events-calendar,The Events Calendar,4.6.3
force-regenerate-thumbnails,Force Regenerate Thumbnails,2.0.6
wp-maintenance-mode,WP Maintenance Mode,2.0.9
broken-link-checker,Broken Link Checker,1.11.5
worker,ManageWP Worker,4.2.25
redux-framework,Redux Framework,3.6.7.7
coming-soon,Coming Soon Page & Maintenance Mode by SeedProd,5.0.15
loco-translate,Loco Translate,2.0.16
image-widget,Image Widget,4.4.6
really-simple-ssl,Really Simple SSL,2.5.22
yith-woocommerce-wishlist,YITH WooCommerce Wishlist,2.1.2
custom-post-type-ui,Custom Post Type UI,1.5.5
instagram-feed,Instagram Feed,1.5
add-to-any,AddToAny Share Buttons,1.7.21
user-role-editor,User Role Editor,4.37
post-types-order,Post Types Order,1.9.3.5
wp-fastest-cache,WP Fastest Cache,0.8.7.4
autoptimize,Autoptimize,2.2.2
cookie-notice,Cookie Notice by dFactory,1.2.39
contact-widgets,Contact Widgets,1.4.1
maintenance,Maintenance,3.5.1
wp-statistics,WP Statistics,12.1.3
beaver-builder-lite-version,WordPress Page Builder – Beaver Builder,1.10.9.2
iwp-client,InfiniteWP Client,1.6.6.3
wp-google-maps,WP Google Maps,6.4.06
wysija-newsletters,MailPoet 2,2.7.15.1
wp-db-backup,WP-DB-Backup,2.3.1
photo-gallery,Photo Gallery by WD – Responsive Photo Gallery for WordPress,1.3.59
simple-custom-css,Simple Custom CSS,3.3
bbpress,bbPress,2.5.14
duplicate-page,Duplicate Page,2.3
easy-google-fonts,Easy Google Fonts,1.4.3
sucuri-scanner,"Sucuri Security – Auditing, Malware Scanner and Security Hardening",1.8.11
woocommerce-gateway-paypal-express-checkout,WooCommerce PayPal Express Checkout Payment Gateway,1.4.4
insert-headers-and-footers,Insert Headers and Footers,1.4.2
widget-importer-exporter,Widget Importer & Exporter,1.5.2
captcha,Captcha,4.3.6
widget-logic,Widget Logic,5.8.2
polylang,Polylang,2.2.4
wp-clone-by-wp-academy,WP Clone by WP Academy,2.2.4
google-analyticator,Google Analyticator,6.5.4
easy-fancybox,Easy FancyBox,1.6
taxonomy-terms-order,Category Order and Taxonomy Terms Order,1.5.2.2
better-search-replace,Better Search Replace,1.3.1
wordpress-popular-posts,WordPress Popular Posts,4.0.11
woosidebars,WooSidebars,1.4.3
page-links-to,Page Links To,2.9.9
elementor,Elementor Page Builder,1.7.12
mainwp-child,MainWP Child,3.4.3
meta-box,Meta Box,4.12.4
velvet-blues-update-urls,Velvet Blues Update URLs,3.2.7
formidable,Formidable Forms – Form Builder for WordPress,2.05.03
simple-301-redirects,Simple 301 Redirects,1.07
simple-page-ordering,Simple Page Ordering,2.2.4
